,Class,ID,Label
193,air_conditioner,8416,0
194,siren,7726,8
195,dog_bark,1489,3
196,jackhammer,3932,7
197,gun_shot,5817,6
198,dog_bark,4622,3
199,drilling,1448,4
200,jackhammer,3182,7
201,dog_bark,8726,3
202,car_horn,5426,1
203,gun_shot,5313,6
204,jackhammer,5359,7
205,engine_idling,5465,5
206,children_playing,1014,2
207,jackhammer,1701,7
208,air_conditioner,480,0
209,children_playing,4566,2
210,drilling,3330,4
211,street_music,3075,9
212,siren,2509,8
213,drilling,3225,4
214,gun_shot,1830,6
215,drilling,49,4
216,dog_bark,7890,3
217,jackhammer,4677,7
218,air_conditioner,1385,0
219,drilling,4832,4
220,drilling,4598,4
221,siren,3798,8
222,dog_bark,3726,3
223,street_music,5543,9
224,car_horn,7898,1
225,dog_bark,3507,3
226,engine_idling,1695,5
227,siren,4281,8
228,siren,1879,8
229,drilling,7956,4
230,dog_bark,1337,3
231,car_horn,7399,1
232,street_music,5521,9
233,siren,3871,8
234,drilling,2951,4
235,air_conditioner,2235,0
236,children_playing,87,2
237,street_music,6387,9
238,air_conditioner,7761,0
239,siren,4578,8
240,dog_bark,7522,3
241,jackhammer,6159,7
242,drilling,2353,4
243,siren,5892,8
244,air_conditioner,6436,0
245,street_music,1338,9
246,siren,7361,8
247,children_playing,229,2
248,drilling,7401,4
249,dog_bark,1361,3
250,engine_idling,5659,5
251,air_conditioner,3161,0
252,street_music,5676,9
253,siren,6966,8
254,children_playing,1147,2
255,air_conditioner,7004,0
256,street_music,8200,9
257,jackhammer,1678,7
258,siren,7672,8
259,children_playing,1206,2
260,jackhammer,1228,7
261,street_music,4647,9
262,gun_shot,3194,6
263,engine_idling,6323,5
264,dog_bark,507,3
265,siren,455,8
266,dog_bark,4863,3
267,children_playing,6355,2
268,jackhammer,1841,7
269,air_conditioner,3675,0
270,street_music,1384,9
271,air_conditioner,2586,0
272,street_music,4913,9
273,drilling,3480,4
274,siren,5826,8
275,jackhammer,8401,7
276,drilling,3454,4
277,drilling,6196,4
278,gun_shot,8707,6
279,jackhammer,719,7
280,air_conditioner,3583,0
281,siren,4776,8
282,dog_bark,3591,3
283,engine_idling,2651,5
284,engine_idling,4267,5
285,engine_idling,6395,5
286,car_horn,3806,1
287,dog_bark,2303,3
288,dog_bark,6677,3
289,engine_idling,3071,5
290,engine_idling,7087,5
291,dog_bark,482,3
292,drilling,4359,4
293,siren,757,8
294,children_playing,8268,2
295,air_conditioner,8071,0
296,drilling,612,4
297,drilling,1071,4
298,jackhammer,5045,7
299,engine_idling,7531,5
300,car_horn,2057,1
301,children_playing,8429,2
302,car_horn,8314,1
303,drilling,2946,4
304,street_music,5125,9
305,dog_bark,4204,3
306,street_music,4184,9
307,engine_idling,8727,5
308,dog_bark,7250,3
309,gun_shot,5995,6
310,children_playing,7292,2
311,street_music,2020,9
312,street_music,7468,9
313,street_music,3363,9
314,jackhammer,1347,7
315,air_conditioner,6377,0
316,siren,3138,8
317,siren,6219,8
318,siren,2592,8
319,engine_idling,1085,5
320,car_horn,7747,1
321,jackhammer,6072,7
322,drilling,3540,4
323,siren,5010,8
324,air_conditioner,7918,0
325,air_conditioner,3387,0
326,car_horn,3389,1
327,children_playing,2653,2
328,dog_bark,6772,3
329,drilling,2682,4
330,jackhammer,33,7
331,engine_idling,4839,5
332,jackhammer,121,7
333,engine_idling,6364,5
334,dog_bark,5360,3
335,street_music,2103,9
336,siren,6633,8
337,drilling,3215,4
338,children_playing,821,2
339,jackhammer,7284,7
340,drilling,2382,4
341,jackhammer,363,7
342,dog_bark,796,3
343,gun_shot,7175,6
344,drilling,635,4
345,jackhammer,5640,7
346,siren,1749,8
347,siren,5069,8
348,children_playing,610,2
349,siren,8641,8
350,engine_idling,2987,5
351,jackhammer,8459,7
352,engine_idling,6967,5
353,dog_bark,6769,3
354,jackhammer,5082,7
355,engine_idling,1828,5
356,street_music,7476,9
357,dog_bark,7610,3
358,dog_bark,5013,3
359,car_horn,4481,1
360,gun_shot,6656,6
361,children_playing,485,2
362,car_horn,1615,1
363,siren,5063,8
364,engine_idling,6779,5
365,dog_bark,3001,3
366,jackhammer,2008,7
367,air_conditioner,3355,0
368,siren,4030,8
369,children_playing,4937,2
370,jackhammer,1321,7
371,car_horn,4119,1
372,street_music,3766,9
373,car_horn,7085,1
374,engine_idling,8172,5
375,air_conditioner,3020,0
376,street_music,642,9
377,jackhammer,1558,7
378,dog_bark,7277,3
379,children_playing,8078,2
380,street_music,498,9
381,gun_shot,4943,6
382,air_conditioner,6791,0
383,gun_shot,2930,6
384,dog_bark,167,3
385,siren,8607,8
386,siren,8424,8
387,street_music,5073,9
388,drilling,1761,4
389,children_playing,5893,2
390,jackhammer,5900,7
391,engine_idling,3914,5
392,street_music,450,9
393,siren,1478,8
394,siren,8188,8
395,children_playing,6732,2
396,car_horn,1437,1
397,street_music,38,9
398,engine_idling,2129,5
399,air_conditioner,2125,0
400,engine_idling,26,5
401,dog_bark,5206,3
402,children_playing,8507,2
403,jackhammer,5947,7
404,air_conditioner,1547,0
405,gun_shot,3887,6
406,dog_bark,1515,3
407,children_playing,4904,2
408,jackhammer,2081,7
409,dog_bark,4880,3
410,car_horn,2380,1
411,street_music,4085,9
412,children_playing,5858,2
413,jackhammer,1647,7
414,jackhammer,4682,7
415,drilling,4542,4
416,children_playing,2066,2
417,dog_bark,3399,3
418,engine_idling,5941,5
419,engine_idling,5731,5
420,air_conditioner,4234,0
421,car_horn,4607,1
422,children_playing,881,2
423,air_conditioner,6288,0
424,dog_bark,929,3
425,siren,4164,8
426,children_playing,3529,2
427,street_music,7586,9
428,air_conditioner,5559,0
429,air_conditioner,4991,0
430,engine_idling,6015,5
431,drilling,3046,4
432,children_playing,299,2
433,jackhammer,7074,7
434,gun_shot,7108,6
435,children_playing,1151,2
436,dog_bark,2935,3
437,dog_bark,2623,3
438,drilling,5662,4
439,drilling,1677,4
440,gun_shot,19,6
441,air_conditioner,6392,0
442,siren,4182,8
443,jackhammer,7179,7
444,dog_bark,1521,3
445,children_playing,2218,2
446,gun_shot,790,6
447,children_playing,8058,2
448,dog_bark,5890,3
449,jackhammer,278,7
450,siren,2216,8
451,jackhammer,5188,7
452,gun_shot,2837,6
453,jackhammer,4697,7
454,children_playing,4792,2
455,engine_idling,8511,5
456,car_horn,2113,1
457,children_playing,8013,2
458,children_playing,7743,2
459,air_conditioner,8093,0
460,children_playing,8199,2
461,siren,3501,8
462,dog_bark,426,3
463,jackhammer,7853,7
464,engine_idling,7264,5
465,dog_bark,2865,3
466,car_horn,4721,1
467,engine_idling,8152,5
468,dog_bark,7227,3
469,drilling,1854,4
470,air_conditioner,6234,0
471,street_music,1632,9
472,engine_idling,2494,5
473,jackhammer,6551,7
474,car_horn,6255,1
475,drilling,336,4
476,air_conditioner,2101,0
477,street_music,7768,9
478,engine_idling,7206,5
479,drilling,4096,4
480,street_music,7019,9
481,air_conditioner,1292,0
482,engine_idling,932,5
483,air_conditioner,5887,0
484,jackhammer,7656,7
485,engine_idling,5852,5
486,engine_idling,3613,5
487,street_music,3233,9
488,jackhammer,740,7
489,engine_idling,3642,5
490,car_horn,4883,1
491,siren,1703,8
492,air_conditioner,4754,0
493,engine_idling,7532,5
494,street_music,7432,9
495,dog_bark,1459,3
496,dog_bark,624,3
497,engine_idling,5437,5
498,jackhammer,2418,7
499,engine_idling,1310,5
500,children_playing,2464,2
501,car_horn,365,1
502,air_conditioner,3397,0
503,street_music,4766,9
504,street_music,3293,9
505,jackhammer,3672,7
506,dog_bark,5745,3
507,dog_bark,6244,3
508,dog_bark,8014,3
509,children_playing,438,2
510,dog_bark,7385,3
511,drilling,4767,4
512,dog_bark,6918,3
513,siren,213,8
514,air_conditioner,1237,0
515,gun_shot,1966,6
516,gun_shot,3626,6
517,drilling,4911,4
518,engine_idling,2149,5
519,air_conditioner,226,0
520,engine_idling,2939,5
521,air_conditioner,3603,0
522,street_music,4722,9
523,dog_bark,2489,3
524,dog_bark,160,3
525,drilling,1240,4
526,street_music,7787,9
527,air_conditioner,3437,0
528,jackhammer,3751,7
529,jackhammer,3078,7
530,drilling,4997,4
531,engine_idling,2994,5
532,jackhammer,6117,7
533,street_music,6109,9
534,street_music,2836,9
535,car_horn,652,1
536,air_conditioner,3732,0
537,siren,2921,8
538,drilling,2054,4
539,street_music,3475,9
540,street_music,5154,9
541,street_music,5369,9
542,engine_idling,3354,5
543,air_conditioner,7570,0
544,siren,4476,8
545,siren,6300,8
546,dog_bark,8062,3
547,jackhammer,6621,7
548,car_horn,1516,1
549,gun_shot,2009,6
550,siren,6516,8
551,jackhammer,1704,7
552,siren,4799,8
553,dog_bark,2783,3
554,air_conditioner,1910,0
555,street_music,1083,9
556,engine_idling,1561,5
557,air_conditioner,4400,0
558,air_conditioner,22,0
559,engine_idling,7538,5
560,air_conditioner,7305,0
561,street_music,2428,9
562,children_playing,4803,2
563,dog_bark,1352,3
564,car_horn,8307,1
565,children_playing,7321,2
566,siren,575,8
567,air_conditioner,8515,0
568,air_conditioner,2676,0
569,siren,7367,8
570,engine_idling,5988,5
571,street_music,4672,9
572,engine_idling,1977,5
573,engine_idling,8540,5
574,drilling,4425,4
575,dog_bark,5140,3
576,drilling,2117,4
577,dog_bark,5610,3
578,children_playing,1877,2
579,gun_shot,2914,6
580,air_conditioner,4067,0
581,dog_bark,7997,3
582,air_conditioner,1579,0
583,dog_bark,5724,3
584,drilling,1660,4
585,engine_idling,8076,5
586,gun_shot,3152,6
587,air_conditioner,7051,0
588,siren,8110,8
589,dog_bark,721,3
590,siren,8283,8
591,engine_idling,1935,5
592,jackhammer,5707,7
593,air_conditioner,4840,0
594,street_music,1029,9
595,drilling,6210,4
596,drilling,6542,4
597,air_conditioner,7048,0
598,drilling,6437,4
599,children_playing,484,2
600,car_horn,6235,1
601,dog_bark,7451,3
602,children_playing,8523,2
603,children_playing,4530,2
604,street_music,1339,9
605,drilling,119,4
606,drilling,3930,4
607,gun_shot,7585,6
608,car_horn,8345,1
609,siren,5352,8
610,gun_shot,2445,6
611,jackhammer,2312,7
612,street_music,4827,9
613,street_music,6855,9
614,children_playing,6889,2
615,dog_bark,4921,3
616,drilling,1949,4
617,dog_bark,6999,3
618,children_playing,6739,2
619,drilling,1525,4
620,car_horn,48,1
621,street_music,3803,9
622,street_music,771,9
623,engine_idling,2912,5
624,siren,7711,8
625,dog_bark,8154,3
626,children_playing,4366,2
627,jackhammer,3863,7
628,car_horn,5842,1
629,engine_idling,666,5
630,drilling,554,4
631,car_horn,83,1
632,car_horn,3369,1
633,children_playing,5841,2
634,drilling,7041,4
635,dog_bark,6049,3
636,siren,977,8
637,air_conditioner,1856,0
638,jackhammer,3566,7
639,siren,7980,8
640,children_playing,3510,2
641,engine_idling,6055,5
642,street_music,2898,9
643,car_horn,4993,1
644,jackhammer,8258,7
645,air_conditioner,6793,0
646,gun_shot,5641,6
647,siren,3452,8
648,jackhammer,2578,7
649,air_conditioner,7653,0
650,air_conditioner,324,0
651,street_music,619,9
652,jackhammer,3298,7
653,children_playing,2301,2
654,car_horn,8313,1
655,siren,6189,8
656,dog_bark,4049,3
657,children_playing,6382,2
658,dog_bark,3285,3
659,children_playing,8569,2
660,dog_bark,5854,3
661,dog_bark,3567,3
662,engine_idling,2547,5
663,gun_shot,4426,6
664,engine_idling,2871,5
665,air_conditioner,7525,0
666,dog_bark,2419,3
667,dog_bark,6786,3
668,jackhammer,2238,7
669,street_music,2199,9
670,car_horn,5460,1
671,children_playing,4609,2
672,jackhammer,2162,7
673,children_playing,2779,2
674,car_horn,1937,1
675,gun_shot,854,6
676,street_music,3889,9
677,jackhammer,3092,7
678,engine_idling,2043,5
679,children_playing,4394,2
680,drilling,3332,4
681,dog_bark,951,3
682,engine_idling,3522,5
683,siren,5937,8
684,jackhammer,3486,7
685,children_playing,4311,2
686,car_horn,7260,1
687,air_conditioner,7013,0
688,street_music,4753,9
689,drilling,1664,4
690,street_music,2920,9
691,jackhammer,6631,7
692,drilling,2479,4
693,air_conditioner,1259,0
694,dog_bark,540,3
695,siren,6505,8
696,street_music,1134,9
697,drilling,6901,4
698,car_horn,1794,1
699,air_conditioner,3036,0
700,children_playing,2934,2
701,jackhammer,8681,7
702,dog_bark,930,3
703,gun_shot,3262,6
704,drilling,570,4
705,siren,2463,8
706,engine_idling,6239,5
707,jackhammer,8453,7
708,children_playing,5487,2
709,drilling,6607,4
710,siren,2601,8
711,children_playing,5046,2
712,car_horn,7539,1
713,air_conditioner,7141,0
714,air_conditioner,8432,0
715,siren,7315,8
716,jackhammer,2943,7
717,children_playing,3105,2
718,street_music,7563,9
719,drilling,7081,4
720,drilling,2461,4
721,street_music,8377,9
722,children_playing,4006,2
723,air_conditioner,6339,0
724,drilling,6379,4
725,siren,1719,8
726,dog_bark,772,3
727,air_conditioner,312,0
728,gun_shot,523,6
729,car_horn,6443,1
730,street_music,7362,9
731,gun_shot,4442,6
732,dog_bark,7867,3
733,drilling,1847,4
734,dog_bark,2732,3
735,drilling,6797,4
736,drilling,6729,4
737,jackhammer,6029,7
738,dog_bark,8263,3
739,street_music,2574,9
740,siren,5321,8
741,jackhammer,6527,7
742,gun_shot,6248,6
743,street_music,2974,9
744,car_horn,5291,1
745,air_conditioner,3096,0
746,street_music,6295,9
747,gun_shot,4408,6
748,children_playing,3221,2
749,children_playing,8640,2
750,engine_idling,2980,5
751,street_music,5438,9
752,jackhammer,7213,7
753,street_music,2552,9
754,dog_bark,4055,3
755,car_horn,3758,1
756,siren,843,8
757,engine_idling,1079,5
758,street_music,8691,9
759,dog_bark,6515,3
760,engine_idling,1711,5
761,children_playing,6211,2
762,drilling,1987,4
763,engine_idling,2132,5
764,jackhammer,7100,7
765,dog_bark,4,3
766,engine_idling,2855,5
767,jackhammer,4667,7
768,street_music,8249,9
769,siren,6643,8
770,drilling,6063,4
771,siren,182,8
772,drilling,3702,4
773,jackhammer,2795,7
774,dog_bark,7064,3
775,air_conditioner,1943,0
776,car_horn,7126,1
777,dog_bark,4704,3
778,street_music,1518,9
779,gun_shot,2538,6
780,drilling,4959,4
781,dog_bark,5912,3
782,dog_bark,8260,3
783,street_music,3379,9
784,jackhammer,6282,7
785,dog_bark,4428,3
786,children_playing,360,2
787,drilling,3598,4
788,engine_idling,6971,5
789,air_conditioner,6830,0
790,drilling,4896,4
791,air_conditioner,2195,0
792,engine_idling,6555,5
793,engine_idling,4963,5
794,dog_bark,7566,3
795,drilling,5570,4
796,air_conditioner,8125,0
797,air_conditioner,8208,0
798,dog_bark,4161,3
799,street_music,590,9
800,drilling,7068,4
801,air_conditioner,4301,0
802,engine_idling,3283,5
803,dog_bark,2324,3
804,children_playing,4371,2
805,street_music,6287,9
806,street_music,5871,9
807,air_conditioner,3653,0
808,street_music,8660,9
809,engine_idling,2349,5
810,children_playing,5844,2
811,jackhammer,1956,7
812,children_playing,1869,2
813,street_music,7979,9
814,street_music,2488,9
815,engine_idling,3637,5
816,engine_idling,512,5
817,dog_bark,7249,3
818,dog_bark,7200,3
819,children_playing,1092,2
820,drilling,4236,4
821,gun_shot,6623,6
822,jackhammer,1452,7
823,children_playing,4180,2
824,engine_idling,3861,5
825,street_music,7388,9
826,air_conditioner,2612,0
827,siren,6449,8
828,siren,7843,8
829,drilling,3082,4
830,dog_bark,8264,3
831,car_horn,7151,1
832,dog_bark,6722,3
833,car_horn,2686,1
834,car_horn,7868,1
835,street_music,5081,9
836,drilling,2726,4
837,siren,6856,8
838,air_conditioner,6575,0
839,children_playing,7062,2
840,engine_idling,2567,5
841,jackhammer,3091,7
842,engine_idling,1444,5
843,jackhammer,99,7
844,engine_idling,896,5
845,children_playing,560,2
846,street_music,5088,9
847,dog_bark,236,3
848,dog_bark,8409,3
849,dog_bark,4260,3
850,street_music,7171,9
851,children_playing,4676,2
852,children_playing,3604,2
853,drilling,2269,4
854,engine_idling,3890,5
855,children_playing,342,2
856,dog_bark,5914,3
857,siren,6626,8
858,engine_idling,42,5
859,gun_shot,6206,6
860,dog_bark,2969,3
861,engine_idling,1739,5
862,jackhammer,8205,7
863,car_horn,6082,1
864,siren,286,8
865,air_conditioner,4787,0
866,air_conditioner,1168,0
867,drilling,4279,4
868,children_playing,1874,2
869,jackhammer,7244,7
870,engine_idling,2741,5
871,children_playing,8479,2
872,jackhammer,6263,7
873,engine_idling,5572,5
874,engine_idling,7190,5
875,jackhammer,1768,7
876,drilling,5903,4
877,siren,6496,8
878,jackhammer,6620,7
879,street_music,2455,9
880,children_playing,799,2
881,engine_idling,8090,5
882,siren,5701,8
883,drilling,2849,4
884,air_conditioner,4401,0
885,air_conditioner,6451,0
886,dog_bark,3200,3
887,drilling,6642,4
888,air_conditioner,350,0
889,siren,8353,8
890,car_horn,4041,1
891,jackhammer,4253,7
892,drilling,4134,4
893,dog_bark,2104,3
894,children_playing,5626,2
895,car_horn,5833,1
896,street_music,435,9
897,engine_idling,8282,5
898,siren,643,8
899,drilling,7818,4
900,air_conditioner,3657,0
901,siren,1226,8
902,dog_bark,6357,3
903,jackhammer,2004,7
904,children_playing,4083,2
905,jackhammer,2787,7
906,children_playing,3561,2
907,children_playing,8635,2
908,jackhammer,3353,7
909,dog_bark,3924,3
910,children_playing,2421,2
911,air_conditioner,3728,0
912,siren,2570,8
913,air_conditioner,3838,0
914,drilling,7929,4
915,street_music,7105,9
916,street_music,6878,9
917,street_music,3413,9
918,gun_shot,1471,6
919,street_music,2150,9
920,jackhammer,3741,7
921,children_playing,2677,2
922,jackhammer,8167,7
923,dog_bark,5361,3
924,drilling,8259,4
925,dog_bark,4583,3
926,jackhammer,445,7
927,street_music,7795,9
928,jackhammer,6181,7
929,air_conditioner,4612,0
930,siren,3172,8
931,jackhammer,8171,7
932,siren,2205,8
933,children_playing,3246,2
934,dog_bark,6310,3
935,jackhammer,5248,7
936,engine_idling,4879,5
937,car_horn,1550,1
938,dog_bark,7471,3
939,dog_bark,4786,3
940,children_playing,1289,2
941,gun_shot,35,6
942,jackhammer,4881,7
943,drilling,8519,4
944,jackhammer,5800,7
945,jackhammer,6021,7
946,car_horn,6153,1
947,engine_idling,4714,5
948,children_playing,67,2
949,car_horn,954,1
950,street_music,7197,9
951,children_playing,2126,2
952,air_conditioner,5472,0
953,siren,3682,8
954,engine_idling,1483,5
955,children_playing,4789,2
956,children_playing,5055,2
957,dog_bark,7776,3
958,engine_idling,2470,5
959,engine_idling,6347,5
960,car_horn,5783,1
961,drilling,8605,4
962,siren,4125,8
963,jackhammer,8133,7
964,car_horn,7599,1
965,drilling,8624,4
966,air_conditioner,100,0
967,jackhammer,3859,7
968,car_horn,7870,1
969,drilling,7547,4
970,children_playing,4337,2
971,children_playing,8020,2
972,street_music,1297,9
973,children_playing,5856,2
974,dog_bark,7702,3
975,street_music,65,9
976,jackhammer,2416,7
977,drilling,8143,4
978,dog_bark,8535,3
979,children_playing,3163,2
980,jackhammer,4372,7
981,air_conditioner,780,0
982,engine_idling,6556,5
983,air_conditioner,1546,0
984,jackhammer,4843,7
985,drilling,1472,4
986,engine_idling,8085,5
987,jackhammer,4964,7
988,children_playing,874,2
989,siren,2516,8
990,gun_shot,4349,6
991,children_playing,4640,2
992,children_playing,1633,2
993,street_music,7865,9
994,dog_bark,2168,3
995,dog_bark,4568,3
996,drilling,4793,4
997,engine_idling,8435,5
998,children_playing,5562,2
999,engine_idling,288,5
1000,street_music,5021,9
1001,gun_shot,1496,6
1002,engine_idling,8714,5
1003,jackhammer,6107,7
1004,jackhammer,3538,7
1005,drilling,7006,4
1006,children_playing,3994,2
1007,drilling,4835,4
1008,drilling,6896,4
1009,siren,686,8
1010,jackhammer,7138,7
1011,drilling,898,4
1012,street_music,7596,9
1013,siren,343,8
1014,dog_bark,1805,3
1015,air_conditioner,4094,0
1016,jackhammer,222,7
1017,jackhammer,945,7
1018,street_music,8684,9
1019,drilling,138,4
1020,children_playing,5624,2
1021,dog_bark,8713,3
1022,jackhammer,8518,7
1023,air_conditioner,3151,0
1024,jackhammer,4539,7
1025,engine_idling,5177,5
1026,children_playing,2354,2
1027,siren,8357,8
1028,car_horn,349,1
1029,dog_bark,3409,3
1030,air_conditioner,5432,0
1031,air_conditioner,4970,0
1032,siren,7150,8
1033,street_music,2413,9
1034,jackhammer,5692,7
1035,street_music,7688,9
1036,children_playing,6546,2
1037,siren,5799,8
1038,engine_idling,894,5
1039,gun_shot,2265,6
1040,street_music,1061,9
1041,street_music,7727,9
1042,dog_bark,7981,3
1043,air_conditioner,2928,0
1044,jackhammer,79,7
1045,engine_idling,838,5
1046,air_conditioner,2078,0
1047,air_conditioner,5076,0
1048,gun_shot,7287,6
1049,engine_idling,2915,5
1050,jackhammer,5304,7
1051,street_music,74,9
1052,drilling,2671,4
1053,gun_shot,8008,6
1054,jackhammer,3272,7
1055,air_conditioner,8609,0
1056,air_conditioner,2869,0
1057,jackhammer,1923,7
1058,children_playing,2858,2
1059,street_music,7513,9
1060,engine_idling,3686,5
1061,engine_idling,4805,5
1062,street_music,753,9
1063,drilling,4121,4
1064,jackhammer,2358,7
1065,engine_idling,353,5
1066,siren,4032,8
1067,siren,1623,8
1068,street_music,2152,9
1069,dog_bark,3226,3
1070,air_conditioner,8618,0
1071,street_music,1795,9
1072,air_conditioner,1573,0
1073,children_playing,7779,2
1074,engine_idling,1858,5
1075,air_conditioner,1929,0
1076,siren,4451,8
1077,siren,7838,8
1078,siren,3987,8
1079,street_music,7723,9
1080,drilling,2388,4
1081,children_playing,4286,2
1082,siren,8654,8
1083,air_conditioner,8073,0
1084,siren,5444,8
1085,siren,3074,8
1086,jackhammer,6099,7
1087,dog_bark,8465,3
1088,air_conditioner,2510,0
1089,jackhammer,7891,7
1090,siren,7328,8
1091,car_horn,3676,1
1092,engine_idling,366,5
1093,siren,5512,8
1094,siren,2351,8
1095,jackhammer,3395,7
1096,dog_bark,7965,3
1097,jackhammer,6815,7
1098,children_playing,4320,2
1099,siren,6880,8
1100,dog_bark,3147,3
1101,street_music,3061,9
1102,jackhammer,7503,7
1103,drilling,5382,4
1104,street_music,2209,9
1105,air_conditioner,3896,0
1106,jackhammer,2506,7
1107,engine_idling,7263,5
1108,dog_bark,8620,3
1109,car_horn,4703,1
1110,air_conditioner,7650,0
1111,siren,1958,8
1112,siren,4191,8
1113,street_music,7086,9
1114,street_music,2959,9
1115,dog_bark,2372,3
1116,drilling,6327,4
1117,drilling,2505,4
1118,children_playing,6183,2
1119,engine_idling,5627,5
1120,air_conditioner,2662,0
1121,dog_bark,4595,3
1122,dog_bark,7337,3
1123,street_music,2512,9
1124,jackhammer,556,7
1125,children_playing,4956,2
1126,jackhammer,3929,7
1127,siren,7821,8
1128,children_playing,2580,2
1129,children_playing,1498,2
1130,drilling,3634,4
1131,siren,1908,8
1132,jackhammer,7116,7
1133,siren,2568,8
1134,siren,2010,8
1135,drilling,7358,4
1136,children_playing,7939,2
1137,jackhammer,614,7
1138,street_music,704,9
1139,drilling,3465,4
1140,jackhammer,2163,7
1141,drilling,7700,4
1142,dog_bark,2038,3
1143,air_conditioner,3232,0
1144,street_music,7655,9
1145,street_music,6220,9
1146,children_playing,5922,2
1147,engine_idling,1570,5
